zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading
uncore,45.047016685,31.717475999999806,0.7041004941319294,0.7288410119094096,1572.511085,30.98814299999981,1604.228561
package-0,46.047640568,977.6407869999966,21.23110269054305,21.040634536021308,33902.944687,956.5839080000005,34880.585474
core,46.04772474,768.4370209999979,16.687893468652916,16.521881248535323,26566.32213,751.9023840000009,27334.759151
uncore,46.047777194,32.424790999999914,0.7041584972665391,0.7067693373196914,1572.511085,31.717475999999806,1604.935876
package-0,47.048365185,999.0398119999954,21.234343715228665,21.383476603723746,33902.944687,977.6407869999966,34901.984499
core,47.048440252,785.2551209999983,16.690403068198766,16.805880074868615,26566.32213,768.4370209999979,27351.577251
uncore,47.048492041,33.19161199999985,0.7054794906116398,0.7662638327093689,1572.511085,32.424790999999914,1605.702697
package-0,48.049277048,1020.2334940000001,21.233132285951054,21.176183653575638,33902.944687,999.0398119999954,34923.178181
core,48.049360018,801.9471139999987,16.690149125704593,16.678211426977605,26566.32213,785.2551209999983,27368.269244
uncore,48.049400401,33.87352299999998,0.704976849985877,0.6813479871686742,1572.511085,33.19161199999985,1606.384608
package-0,49.049901882,1041.365472999998,21.230761804790312,21.11694329291759,33902.944687,1020.2334940000001,34944.31016
core,49.05011775,818.8317999999999,16.693872953081605,16.872672302995387,26566.32213,801.9471139999987,27385.15393
uncore,49.050180255,34.306879999999865,0.699428986681531,0.43304866025976035,1572.511085,33.87352299999998,1606.817965
package-0,50.050752968,1062.9075569999986,21.236626469697686,21.524046483138953,33902.944687,1041.365472999998,34965.852244
core,50.050881648,835.815297000001,16.699380057233405,16.969276457851702,26566.32213,818.8317999999999,27402.137427
uncore,50.050948545,35.032718999999815,0.6999449413274593,0.725231243888641,1572.511085,34.306879999999865,1607.543804
package-0,51.051526651,1084.1576329999953,21.236564597234093,21.233470258413682,33902.944687,1062.9075569999986,34987.10232
core,51.051617565,852.498302,16.698803484285808,16.669968168043297,26566.32213,835.815297000001,27418.820432
